SampleID,T2,Prediction T2,Q,Prediction Q,Combined Index,Combined Prediction,Lifestyle
37035_2#6,107.35873974177525,Urban,131.00755252311316,Rural,1.7624598737634205,Urban,Urban
37035_2#7,94.85903953073006,Urban,125.81641423036895,Rural,1.5704739590961945,Urban,Urban
37035_2#8,94.78980800409148,Urban,172.07680034182448,Rural,1.6302095799105178,Urban,Urban
37035_2#9,103.14979490211056,Urban,129.8438814921177,Rural,1.6985811390571344,Urban,Urban
37035_7#10,73.84406958526685,Urban,13.38813931242778,Rural,1.11149311599518,Urban,Rural
37035_7#11,53.95652266559233,Rural,12.724684231908979,Rural,0.8160123476557365,Rural,Rural
37035_7#12,44.86438775046402,Rural,14.037033971910896,Rural,0.6830473633829668,Rural,Rural
37035_7#13,52.77076004416979,Rural,12.958888981071354,Rural,0.7987543635573324,Rural,Rural
37035_7#14,32.18458150106644,Rural,19.90068000761803,Rural,0.5029134260763726,Rural,Rural
37035_7#15,43.25296867567439,Rural,5.605977870269281,Rural,0.6481023270086085,Rural,Rural
37035_7#16,66.22704532170629,Rural,11.911295659556249,Rural,0.9967165708601314,Rural,Rural
37035_7#17,46.207465340358425,Rural,14.052643721051071,Rural,0.7029638951922721,Rural,Rural
37035_7#19,41.26424353271407,Rural,17.103619390952925,Rural,0.633743530630852,Rural,Rural
37035_7#1,35.86031689087069,Rural,16.5986779420679,Rural,0.5530278377880409,Rural,Rural
37035_7#20,32.78153787608788,Rural,19.667867813303605,Rural,0.5114508048469701,Rural,Rural
37035_7#21,40.14561821208737,Rural,16.93093080253704,Rural,0.6169456639744557,Rural,Rural
37035_7#22,46.30862748555166,Rural,15.269934331383915,Rural,0.7060613503286668,Rural,Rural
37035_7#23,44.46907824832678,Rural,17.761597495653753,Rural,0.6820834111966803,Rural,Rural
37035_7#24,61.03562407196683,Rural,16.39373521963363,Rural,0.9256996109339697,Rural,Rural
37035_7#25,85.0276801176556,Urban,11.130732753164766,Rural,1.2741994230028577,Urban,Rural
37035_7#2,39.60200607562351,Rural,22.71838679522761,Rural,0.616494320389382,Rural,Rural
37035_7#3,49.02776030691624,Rural,22.02226613119259,Rural,0.7552108538135738,Rural,Rural
37035_7#4,41.87113862238585,Rural,19.352988301656183,Rural,0.6456883865149314,Rural,Rural
37035_7#5,63.44137855930223,Rural,16.343423243469942,Rural,0.9612717976143955,Rural,Rural
37035_7#6,78.43086156642755,Urban,10.244891920209936,Rural,1.175312219383647,Urban,Rural
37035_7#7,46.0800528450479,Rural,19.001169052909148,Rural,0.707576130714908,Rural,Rural
37035_7#8,69.9763518632363,Urban,12.857326657247816,Rural,1.053500472517192,Urban,Rural
37035_7#9,64.27898974495213,Rural,13.726656398746984,Rural,0.9702429481909153,Rural,Rural
37082_1#10,67.54668241871919,Urban,88.12173533923284,Rural,1.1163647769855378,Urban,Urban
37082_1#11,95.3512013383995,Urban,128.1410876118654,Rural,1.580818093146304,Urban,Urban
37082_1#12,142.20281294139053,Urban,99.57148740352272,Rural,2.2373415732660322,Urban,Urban
37082_1#13,102.81556254460828,Urban,81.34877950146142,Rural,1.6299334895860216,Urban,Urban
37082_1#14,85.19421900697365,Urban,62.43985214182894,Rural,1.3440590030069162,Urban,Urban
37082_1#15,104.26434776865231,Urban,96.25217187417763,Rural,1.670970466591099,Urban,Urban
37082_1#16,69.97306215167109,Urban,63.826943354705435,Rural,1.1203983289452744,Urban,Urban
37082_1#17,75.9307941512874,Urban,100.65726733419734,Rural,1.2570299244982843,Urban,Urban
37082_1#18,85.38342283242784,Urban,117.37184948843925,Rural,1.4190128438239684,Urban,Urban
