Treatment,Index,Selected features,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,TP,FP,TN,FN,Fold,Experiment,Seed,Samples,CLR input features,Pseudocount
Without compositional treatment,T2,81,0.9397590361445783,0.9069767441860465,0.975,0.8518518518518519,0.9253731343283582,0.9134259259259259,39,4,23,1,4,5,101,338,201,0.0005
Without compositional treatment,Q,81,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,4,5,101,338,201,0.0005
Without compositional treatment,Combined,81,0.9411764705882353,0.8888888888888888,1.0,0.8148148148148148,0.9253731343283582,0.9074074074074074,40,5,22,0,4,5,101,338,201,0.0005
With CLR,T2,185,0.8947368421052632,0.9444444444444444,0.85,0.9259259259259259,0.8805970149253731,0.887962962962963,34,2,25,6,4,5,101,338,201,0.0005
With CLR,Q,185,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,5,101,338,201,0.0005
With CLR,Combined,185,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,4,5,101,338,201,0.0005
Without compositional treatment,T2,79,0.925,0.925,0.925,0.8888888888888888,0.9104477611940298,0.9069444444444444,37,3,24,3,5,5,101,338,201,0.0005
Without compositional treatment,Q,79,0.8767123287671232,0.9696969696969697,0.8,0.9629629629629629,0.8656716417910447,0.8814814814814815,32,1,26,8,5,5,101,338,201,0.0005
Without compositional treatment,Combined,79,0.9397590361445783,0.9069767441860465,0.975,0.8518518518518519,0.9253731343283582,0.9134259259259259,39,4,23,1,5,5,101,338,201,0.0005
With CLR,T2,184,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,5,5,101,338,201,0.0005
With CLR,Q,184,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,5,101,338,201,0.0005
With CLR,Combined,184,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,5,5,101,338,201,0.0005
Without compositional treatment,T2,89,0.9195402298850575,0.851063829787234,1.0,0.75,0.8970588235294118,0.875,40,7,21,0,1,6,202,338,200,0.0005
Without compositional treatment,Q,89,0.8493150684931506,0.9393939393939394,0.775,0.9285714285714286,0.8382352941176471,0.8517857142857144,31,2,26,9,1,6,202,338,200,0.0005
Without compositional treatment,Combined,89,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,6,202,338,200,0.0005
With CLR,T2,188,0.925,0.925,0.925,0.8928571428571429,0.9117647058823529,0.9089285714285715,37,3,25,3,1,6,202,338,200,0.0005
With CLR,Q,188,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,6,202,338,200,0.0005
With CLR,Combined,188,0.9397590361445783,0.9069767441860465,0.975,0.8571428571428571,0.9264705882352942,0.9160714285714285,39,4,24,1,1,6,202,338,200,0.0005
Without compositional treatment,T2,86,0.926829268292683,0.9047619047619048,0.95,0.8571428571428571,0.9117647058823529,0.9035714285714285,38,4,24,2,2,6,202,338,200,0.0005
Without compositional treatment,Q,86,0.8571428571428571,1.0,0.75,1.0,0.8529411764705882,0.875,30,0,28,10,2,6,202,338,200,0.0005
Without compositional treatment,Combined,86,0.9411764705882353,0.8888888888888888,1.0,0.8214285714285714,0.9264705882352942,0.9107142857142857,40,5,23,0,2,6,202,338,200,0.0005
With CLR,T2,186,0.88,0.9428571428571428,0.825,0.9285714285714286,0.8676470588235294,0.8767857142857143,33,2,26,7,2,6,202,338,200,0.0005
With CLR,Q,186,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,6,202,338,200,0.0005
With CLR,Combined,186,0.8974358974358975,0.9210526315789473,0.875,0.8928571428571429,0.8823529411764706,0.8839285714285714,35,3,25,5,2,6,202,338,200,0.0005
Without compositional treatment,T2,87,0.8941176470588236,0.8444444444444444,0.95,0.75,0.8676470588235294,0.85,38,7,21,2,3,6,202,338,200,0.0005
Without compositional treatment,Q,87,0.935064935064935,0.972972972972973,0.9,0.9642857142857143,0.9264705882352942,0.9321428571428572,36,1,27,4,3,6,202,338,200,0.0005
Without compositional treatment,Combined,87,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,3,6,202,338,200,0.0005
With CLR,T2,189,0.9620253164556962,0.9743589743589743,0.95,0.9642857142857143,0.9558823529411765,0.9571428571428571,38,1,27,2,3,6,202,338,200,0.0005
With CLR,Q,189,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,6,202,338,200,0.0005
With CLR,Combined,189,0.9629629629629629,0.9512195121951219,0.975,0.9285714285714286,0.9558823529411765,0.9517857142857142,39,2,26,1,3,6,202,338,200,0.0005
Without compositional treatment,T2,89,0.9024390243902439,0.8809523809523809,0.925,0.8148148148148148,0.8805970149253731,0.8699074074074074,37,5,22,3,4,6,202,338,200,0.0005
