SampleID,Taxon,BHC,BHC percent within sample,Lifestyle,Index
37035_2#26,GGB4584,0.011222795307719607,0.22159917304817905,Urban,Combined
37035_2#27,GGB4584,0.0031344135645440738,0.06815450363748825,Urban,Combined
37035_2#28,GGB4584,0.0009323690246885092,0.04242177171056097,Urban,Combined
37035_2#29,GGB4584,0.04330509580659551,1.0369461792430428,Urban,Combined
37035_2#2,GGB4584,0.00042839653014343186,0.009111759352362334,Urban,Combined
37035_2#30,GGB4584,0.0014674919115361398,0.03730443621517006,Urban,Combined
37035_2#31,GGB4584,0.005634943870456262,0.11950724027006929,Urban,Combined
37035_2#32,GGB4584,0.004651849289812874,0.09346895065780673,Urban,Combined
37035_2#3,GGB4584,0.0032535530243269976,0.07536473787325457,Urban,Combined
37035_2#4,GGB4584,5.219498302722985e-06,0.00010653794929457474,Urban,Combined
37035_2#5,GGB4584,0.028273948452254456,0.7383826348713889,Urban,Combined
37035_2#6,GGB4584,0.0024292688887747205,0.058606062043363924,Urban,Combined
37035_2#7,GGB4584,0.003228446873183198,0.09137285601455272,Urban,Combined
37035_2#8,GGB4584,5.010978194185945e-05,0.0013752087485641201,Urban,Combined
37035_2#9,GGB4584,0.0025016049257997985,0.0695260886555746,Urban,Combined
37035_7#10,GGB4584,0.0077881787916824425,0.2855135594926796,Rural,Combined
37035_7#11,GGB4584,0.03510638012010081,2.0350867260152996,Rural,Combined
37035_7#12,GGB4584,0.01497429122789595,1.0055532129365887,Rural,Combined
37035_7#13,GGB4584,0.021794967973639334,0.921523284680148,Rural,Combined
37035_7#14,GGB4584,0.002021843031520956,0.1640408421862474,Rural,Combined
37035_7#15,GGB4584,0.0004220023909535156,0.03578411028043595,Rural,Combined
37035_7#16,GGB4584,9.122766172701558e-06,0.0003668830633840826,Rural,Combined
37035_7#17,GGB4584,0.01708373478417224,0.9821200915459121,Rural,Combined
37035_7#19,GGB4584,0.0005728774173569886,0.03747372198541383,Rural,Combined
37035_7#1,GGB4584,0.0014319062766975877,0.10226785498993261,Rural,Combined
37035_7#20,GGB4584,0.011398401077188605,1.1925852023730152,Rural,Combined
37035_7#21,GGB4584,0.000611777279497591,0.04046555800771742,Rural,Combined
37035_7#22,GGB4584,0.0073643377040439415,0.40706418710620784,Rural,Combined
37035_7#23,GGB4584,0.018465917417338003,1.1516378522133297,Rural,Combined
37035_7#24,GGB4584,0.010971227749865932,0.41052841561460257,Rural,Combined
37035_7#25,GGB4584,0.08633119758753008,2.5170580193773597,Rural,Combined
37035_7#2,GGB4584,0.051125097443265634,3.8572783722493944,Rural,Combined
37035_7#3,GGB4584,0.01602885827958994,1.0407901622976035,Rural,Combined
37035_7#4,GGB4584,0.002018624876341864,0.15003004097557934,Rural,Combined
37035_7#5,GGB4584,0.029148362311987676,1.3641272440334367,Rural,Combined
37035_7#6,GGB4584,0.018603532829066682,0.7237662763035707,Rural,Combined
37035_7#7,GGB4584,0.01482186841020276,0.7710491874652287,Rural,Combined
37035_7#8,GGB4584,0.0032978629653318153,0.12295833000808662,Rural,Combined
37035_7#9,GGB4584,0.008790376933524434,0.3408810060711949,Rural,Combined
37082_1#10,GGB4584,0.0019090995527464817,0.07266424083853498,Urban,Combined
37082_1#11,GGB4584,0.0006228678704781094,0.019956989616596536,Urban,Combined
37082_1#12,GGB4584,0.0019581635570908615,0.04173152172861895,Urban,Combined
37082_1#13,GGB4584,0.023389404423056787,0.5814261493785918,Urban,Combined
37082_1#14,GGB4584,0.011471616755815314,0.3090545907602829,Urban,Combined
37082_1#15,GGB4584,4.0216088545785045e-07,1.1012776142046729e-05,Urban,Combined
37082_1#16,GGB4584,0.0165560747127866,0.6313410811639713,Urban,Combined
37082_1#17,GGB4584,0.01160069151276501,0.37742389822550704,Urban,Combined
37082_1#18,GGB4584,0.0015007666279998556,0.04344332368198079,Urban,Combined
37082_1#19,GGB4584,0.011473928034775144,0.2833292089879331,Urban,Combined
37082_1#20,GGB4584,0.0147946853778016,0.4010563792042691,Urban,Combined
37082_1#21,GGB4584,0.009717782501657177,0.20437657008180152,Urban,Combined
37082_1#22,GGB4584,1.882057803264506e-05,0.000590057123678838,Urban,Combined
37082_1#23,GGB4584,0.00893192736003051,0.179212903764222,Urban,Combined
37082_1#24,GGB4584,0.0005183146616082665,0.01902333415284657,Urban,Combined
37082_1#25,GGB4584,0.007775786051663804,0.21975476339378833,Urban,Combined
37082_1#26,GGB4584,0.0007510683764586531,0.015722420883067495,Urban,Combined
37082_1#27,GGB4584,0.021563643952402994,0.5836428583129494,Urban,Combined
37082_1#28,GGB4584,0.007802335431928673,0.24128645579027225,Urban,Combined
37082_1#29,GGB4584,0.0047700824401514606,0.15412639312692847,Urban,Combined
37082_1#30,GGB4584,0.0019435592676790743,0.036012764931163045,Urban,Combined
37082_1#31,GGB4584,0.0028692641763355432,0.04558633695587681,Urban,Combined
37082_1#32,GGB4584,0.006520340603494275,0.26540440321168246,Urban,Combined
37082_1#9,GGB4584,0.022317023397373133,0.7175651170841957,Urban,Combined
37082_2#10,GGB4584,0.0071363555331316955,0.22404511283570092,Urban,Combined
37082_2#11,GGB4584,1.3870652650617441e-05,0.0005385606472792062,Urban,Combined
37082_2#12,GGB4584,0.008498238201271793,0.21034820257965,Urban,Combined
37082_2#13,GGB4584,1.6924253040418008e-05,0.0005152698314837347,Urban,Combined
37082_2#14,GGB4584,0.005734038929344991,0.22705076181488856,Urban,Combined
37082_2#15,GGB4584,0.11402232421806831,3.8628759685292375,Urban,Combined
37082_2#16,GGB4584,0.01955113988156049,1.3653185347506018,Rural,Combined
37082_2#17,GGB4584,0.03095166686518726,3.0724716991790952,Rural,Combined
37082_2#18,GGB4584,0.009336735472395549,0.6611207085241547,Rural,Combined
37082_2#19,GGB4584,0.013991068143980732,0.7215243949110373,Rural,Combined
37082_2#1,GGB4584,0.0008397260180750916,0.019692016869965235,Urban,Combined
37082_2#20,GGB4584,0.009097824078340285,0.3374709153238977,Rural,Combined
37082_2#21,GGB4584,0.013837414261117145,0.7885935389476472,Rural,Combined
