number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
78,0.5804391801923239,2024-12-18 23:48:01.238530,2024-12-18 23:48:01.343007,0 days 00:00:00.104477,kmeans,abundance,1.9000000000000001,8,COMPLETE
79,0.6580653993213085,2024-12-18 23:48:01.344345,2024-12-18 23:48:01.457895,0 days 00:00:00.113550,kmeans,abundance,1.0,9,COMPLETE
80,0.4444134672909996,2024-12-18 23:48:01.459245,2024-12-18 23:48:01.568929,0 days 00:00:00.109684,kmeans,abundance,1.0,2,COMPLETE
81,0.5971528489782073,2024-12-18 23:48:01.570175,2024-12-18 23:48:01.679540,0 days 00:00:00.109365,kmeans,abundance,1.2000000000000002,10,COMPLETE
82,0.5683783360821306,2024-12-18 23:48:01.680894,2024-12-18 23:48:01.794316,0 days 00:00:00.113422,kmeans,abundance,0.8,9,COMPLETE
83,0.5277487149570689,2024-12-18 23:48:01.795338,2024-12-18 23:48:01.907908,0 days 00:00:00.112570,kmeans,abundance,1.0,9,COMPLETE
84,0.5211857081992353,2024-12-18 23:48:01.909229,2024-12-18 23:48:02.024080,0 days 00:00:00.114851,kmeans,abundance,0.9,10,COMPLETE
85,0.5634320398791672,2024-12-18 23:48:02.025435,2024-12-18 23:48:02.137402,0 days 00:00:00.111967,kmeans,abundance,1.1,7,COMPLETE
86,0.4825647399752562,2024-12-18 23:48:02.138642,2024-12-18 23:48:02.268602,0 days 00:00:00.129960,kmeans,abundance,0.30000000000000004,10,COMPLETE
87,0.6151502321246224,2024-12-18 23:48:02.269958,2024-12-18 23:48:02.378549,0 days 00:00:00.108591,kmeans,abundance,1.3,6,COMPLETE
88,0.5128308079829469,2024-12-18 23:48:02.379883,2024-12-18 23:48:02.499285,0 days 00:00:00.119402,kmeans,abundance,0.5,9,COMPLETE
89,0.45446027465851135,2024-12-18 23:48:02.500634,2024-12-18 23:48:02.608439,0 days 00:00:00.107805,kmeans,abundance,1.6,8,COMPLETE
