,Feature,Importance,Specie,abundance
4152,2822847,0.0003964528427810471,Pseudoalteromonas sp. SCSIO 43101,2124.0
1616,2904523,0.00039460491793729676,Allobranchiibius sp. GilTou73,1494.0
3349,35703,0.0003924068937412088,Citrobacter amalonaticus,7766.0
2510,216934,0.00039152229422964943,Spiroplasma corruscae,9329.0
8554,2108399,0.00038930941596063276,Pectobacterium punjabense,380.0
1277,2079227,0.0003811389678882838,Arthrobacter sp. PGP41,2225.0
2454,2801918,0.00037624323374684237,Mycoplasma sp. E35C,3056.0
1305,156980,0.00037248073214969174,Arthrobacter woluwensis,1716.0
5717,2867011,0.00036862585784877246,Jannaschia sp. M317,1570.0
149,2751313,0.0003661355357786348,Koleobacter methoxysyntrophicus,8490.0
8204,160233,0.0003651692512413195,Ignicoccus hospitalis,369.0
6096,89586,0.00036443873015240384,Candidatus Neoehrlichia Neoehrlichia mikurensis,2598.0
2254,467976,0.0003600127276152004,Iamia majanohamensis,3915.0
3924,522259,0.0003591598547117171,Dyella terrae,2135.0
7219,2841594,0.00035311175564751697,Curtobacterium sp. L6-1,1740.0
6548,1891926,0.00035194764999778907,Fuerstiella marisgermanici,1987.0
1169,1824,0.00035134385039529986,Nocardia asteroides,12266.0
277,1393,0.0003501671652296321,Brevibacillus brevis,12468.0
5895,2653850,0.00034870263980164265,Erythrobacter sp. 3-20A1M,1472.0
2440,171282,0.0003477174489945243,Mycoplasmopsis columboralis,2778.0
116,1517,0.00034338547647283995,Thermoanaerobacterium thermosaccharolyticum,38310.0
1984,3036374,0.000341714566437216,Nocardioides sp. BP30,2882.0
4505,2518989,0.00033980121122216507,Aequoribacter fuscus,2436.0
3445,618,0.0003360769394865959,Serratia odorifera,1735.0
233,248903,0.0003349739795973265,Paenibacillus xylanilyticus,24273.0
4520,2580412,0.00033334157642648924,Thiomicrorhabdus sediminis,1038.0
4759,60552,0.0003242444278823535,Burkholderia vietnamiensis,4321.0
2451,2683967,0.00031600531174757687,Mycoplasma sp. NEAQ87857,7162.0
7535,419257,0.0003115356240594736,Yersinia massiliensis,966.0
861,81947,0.0003042956619930367,Vagococcus lutrae,22108.0
5729,74033,0.0003042102804730463,Antarctobacter heliothermus,2194.0
3177,188932,0.0003024550117168503,Pedobacter cryoconitis,4922.0
1036,1794,0.00030222638127530614,Mycolicibacterium gadium,1341.0
2195,2750812,0.00030182435915582077,Actinomadura graeca,4521.0
8498,2955972,0.00030156532281068856,Haifavirus tim68,23.0
1509,2596916,0.00029550297371618614,Frigoribacterium sp. NBH87,2685.0
1280,2565366,0.0002943720067353383,Arthrobacter sp. PAMC25564,2010.0
6404,35818,0.0002929642572564782,Helicobacter pullorum,3243.0
6285,1603606,0.00028560809993714327,Desulfuromonas soudanensis,3666.0
1185,37330,0.0002830435468915972,Nocardia nova,2638.0
7946,1827469,0.0002829807270559927,Brevundimonas sp. GW460-12-10-14-LB2,621.0
3546,1089444,0.0002817280262757395,Dickeya solani,1605.0
3990,47951,0.00027846721510690187,Vibrio cyclitrophicus,2435.0
1837,2548456,0.00026743892565532214,Streptomyces aquilus,1943.0
5460,2820278,0.0002657889715703118,Aquabacter sp. L1I39,4361.0
6654,81468,0.00026529869711454347,Aminobacterium colombiense,1799.0
2429,29553,0.0002602634022573603,Mycoplasmopsis bovirhinis,12083.0
376,28031,0.00025906907062044776,Lysinibacillus fusiformis,10831.0
1269,3039385,0.00025888717954012806,Arthrobacter sp. Y-9,2127.0
702,1814128,0.0002588521384040974,Streptococcus halotolerans,20673.0
504,296745,0.00024281959827294913,Caldalkalibacillus thermarum,8791.0
2130,2294034,0.00024015253910021248,Micromonospora craniellae,2400.0
1302,199136,0.0002381436307928435,Arthrobacter koreensis,2519.0
1736,2966192,0.00023226390782274186,Streptomyces sp. Je 1-369,1399.0
4663,363952,0.00022701688960134875,Comamonas thiooxydans,5953.0
5916,3032592,0.0002259104704690874,Altererythrobacter sp. CAU 1644,1450.0
