number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
143,0.2823241606798171,2024-12-18 23:40:28.131451,2024-12-18 23:40:28.680954,0 days 00:00:00.549503,kmeans,presence,75,6,COMPLETE
144,0.2443368781861781,2024-12-18 23:40:28.681991,2024-12-18 23:40:29.213777,0 days 00:00:00.531786,kmeans,presence,90,6,COMPLETE
145,0.17694616993400117,2024-12-18 23:40:29.214862,2024-12-18 23:40:29.751555,0 days 00:00:00.536693,kmeans,presence,75,6,COMPLETE
146,0.14135699697135848,2024-12-18 23:40:29.752569,2024-12-18 23:40:30.293593,0 days 00:00:00.541024,kmeans,presence,85,6,COMPLETE
147,0.15918788414735244,2024-12-18 23:40:30.294645,2024-12-18 23:40:30.830408,0 days 00:00:00.535763,kmeans,presence,90,6,COMPLETE
148,0.20973663736610781,2024-12-18 23:40:30.831412,2024-12-18 23:40:31.365255,0 days 00:00:00.533843,kmeans,presence,80,6,COMPLETE
149,0.18778537831295242,2024-12-18 23:40:31.366637,2024-12-18 23:40:31.916089,0 days 00:00:00.549452,kmeans,presence,85,6,COMPLETE
150,0.23310316540575568,2024-12-18 23:40:31.917485,2024-12-18 23:40:32.441517,0 days 00:00:00.524032,kmeans,presence,90,6,COMPLETE
151,0.170665493865752,2024-12-18 23:40:32.442770,2024-12-18 23:40:32.979434,0 days 00:00:00.536664,kmeans,presence,90,6,COMPLETE
152,0.23203753560365747,2024-12-18 23:40:32.980761,2024-12-18 23:40:33.498369,0 days 00:00:00.517608,kmeans,presence,90,6,COMPLETE
153,0.19804085700218924,2024-12-18 23:40:33.499632,2024-12-18 23:40:34.041197,0 days 00:00:00.541565,kmeans,presence,90,6,COMPLETE
154,0.14637481263136648,2024-12-18 23:40:34.042521,2024-12-18 23:40:34.558144,0 days 00:00:00.515623,kmeans,presence,95,6,COMPLETE
155,0.13950693093368285,2024-12-18 23:40:34.559433,2024-12-18 23:40:35.069934,0 days 00:00:00.510501,kmeans,presence,90,6,COMPLETE
156,0.13317692611113072,2024-12-18 23:40:35.071275,2024-12-18 23:40:35.582963,0 days 00:00:00.511688,kmeans,presence,85,6,COMPLETE
157,0.14111411043770425,2024-12-18 23:40:35.584228,2024-12-18 23:40:36.103492,0 days 00:00:00.519264,kmeans,presence,80,7,COMPLETE
158,0.21204064106096207,2024-12-18 23:40:36.104824,2024-12-18 23:40:36.630659,0 days 00:00:00.525835,kmeans,presence,95,6,COMPLETE
159,0.17740798909041897,2024-12-18 23:40:36.632012,2024-12-18 23:40:37.192624,0 days 00:00:00.560612,kmeans,presence,75,7,COMPLETE
160,0.12644749379166464,2024-12-18 23:40:37.194044,2024-12-18 23:40:37.762114,0 days 00:00:00.568070,kmeans,presence,70,6,COMPLETE
161,0.15356101969887284,2024-12-18 23:40:37.763500,2024-12-18 23:40:38.290067,0 days 00:00:00.526567,kmeans,presence,85,6,COMPLETE
162,0.20450519573883152,2024-12-18 23:40:38.291344,2024-12-18 23:40:38.806042,0 days 00:00:00.514698,kmeans,presence,95,5,COMPLETE
163,0.21040209641995242,2024-12-18 23:40:38.807439,2024-12-18 23:40:39.337291,0 days 00:00:00.529852,kmeans,presence,90,6,COMPLETE
164,0.2028496195147058,2024-12-18 23:40:39.338628,2024-12-18 23:40:39.859550,0 days 00:00:00.520922,kmeans,presence,85,8,COMPLETE
165,0.2481132730077952,2024-12-18 23:40:39.860935,2024-12-18 23:40:40.451528,0 days 00:00:00.590593,kmeans,presence,30,5,COMPLETE
166,0.1916721940876829,2024-12-18 23:40:40.452841,2024-12-18 23:40:41.054725,0 days 00:00:00.601884,kmeans,presence,30,5,COMPLETE
167,0.2979398970583935,2024-12-18 23:40:41.056006,2024-12-18 23:40:41.664144,0 days 00:00:00.608138,kmeans,presence,25,5,COMPLETE
168,0.1607473859153802,2024-12-18 23:40:41.665168,2024-12-18 23:40:42.258781,0 days 00:00:00.593613,kmeans,presence,25,5,COMPLETE
169,0.14538539884865606,2024-12-18 23:40:42.260209,2024-12-18 23:40:42.860887,0 days 00:00:00.600678,kmeans,presence,20,7,COMPLETE
170,0.09960872215251813,2024-12-18 23:40:42.862148,2024-12-18 23:40:43.470059,0 days 00:00:00.607911,kmeans,presence,25,5,COMPLETE
171,0.14143470185492155,2024-12-18 23:40:43.471360,2024-12-18 23:40:44.050905,0 days 00:00:00.579545,kmeans,presence,30,5,COMPLETE
172,0.12490235129829531,2024-12-18 23:40:44.052298,2024-12-18 23:40:44.629301,0 days 00:00:00.577003,kmeans,presence,35,5,COMPLETE
173,0.1113890691356552,2024-12-18 23:40:44.630689,2024-12-18 23:40:45.209215,0 days 00:00:00.578526,kmeans,presence,40,7,COMPLETE
174,0.3025431201762652,2024-12-18 23:40:45.210225,2024-12-18 23:40:45.809517,0 days 00:00:00.599292,kmeans,presence,20,10,COMPLETE
175,0.13238733328284247,2024-12-18 23:40:45.810585,2024-12-18 23:40:46.413613,0 days 00:00:00.603028,kmeans,presence,25,10,COMPLETE
176,0.18298956247834494,2024-12-18 23:40:46.414694,2024-12-18 23:40:47.032110,0 days 00:00:00.617416,kmeans,presence,15,10,COMPLETE
177,0.22718484805192066,2024-12-18 23:40:47.033530,2024-12-18 23:40:47.643437,0 days 00:00:00.609907,kmeans,presence,20,6,COMPLETE
178,0.236006363220332,2024-12-18 23:40:47.644837,2024-12-18 23:40:48.242745,0 days 00:00:00.597908,kmeans,presence,30,9,COMPLETE
179,0.15720895237347068,2024-12-18 23:40:48.243842,2024-12-18 23:40:48.883389,0 days 00:00:00.639547,kmeans,presence,15,9,COMPLETE
180,0.18363981015685923,2024-12-18 23:40:48.884379,2024-12-18 23:40:49.475510,0 days 00:00:00.591131,kmeans,presence,30,10,COMPLETE
181,0.14213140353073717,2024-12-18 23:40:49.476899,2024-12-18 23:40:50.076293,0 days 00:00:00.599394,kmeans,presence,35,9,COMPLETE
182,0.24473924271684677,2024-12-18 23:40:50.077681,2024-12-18 23:40:50.714803,0 days 00:00:00.637122,kmeans,presence,20,9,COMPLETE
183,0.1267053864871424,2024-12-18 23:40:50.716102,2024-12-18 23:40:51.330705,0 days 00:00:00.614603,kmeans,presence,20,9,COMPLETE
