Gene	Mean_Difference	p_value	p_adj
K00854	35.103013662634986	0.011025240391555764	19.393397848746588
K02111	-500.4460600266302	0.011067703233045489	19.468089986927016
K03648	-321.1138696489852	0.01113560991264826	19.58753783634829
K17074	25.004162932089486	0.011262381916548355	19.810529791208555
K05813	19.67600948418838	0.01142755050477728	20.101061337903236
K03117	62.05478235450143	0.011526520024960253	20.275148723905083
K11717	-250.87980541169634	0.011529966520087897	20.28121110883461
K06133	39.642576872736385	0.01153348030411827	20.287391854944037
K02503	111.25108521492427	0.011705444923655951	20.58987762071082
K00343	-173.70543107960862	0.011888277035024363	20.911479304607855
K06940	167.40015132334204	0.011898404673634181	20.929293820922524
K02418	-51.71235481177973	0.01196796524713561	21.051650869711537
K07584	-65.8170597157762	0.011976461214245735	21.066595275858248
K00878	-237.39795215781487	0.011983468339117422	21.078920808507547
K05934	-47.7023740417066	0.012110778312985819	21.302859052542054
K12510	-189.59410284507095	0.012134397331585126	21.344404906258237
K00895	-163.776346335784	0.01226346755056798	21.571439421449078
K06334	-80.91139432956459	0.012287178443263947	21.613146881701283
K08309	-64.93246835131838	0.012341547230114226	21.708781577770925
K12960	65.8742747345289	0.012394761540933236	21.802385550501562
K01187	-78.10035528395741	0.012403369270410237	21.817526546651607
K00821	168.2700904777967	0.012436316501038316	21.875480725326398
K07451	-34.14186333856206	0.012487421445896828	21.965374323332522
K12139	28.33917569412862	0.012541558551564084	22.060601492201222
K02314	-100.89064690617042	0.012772876362366795	22.46748952140319
K00942	-284.0457631372442	0.012915493254617855	22.718352634872808
K01740	-257.7303813812648	0.012986744111065296	22.843682891363855
K07150	52.199210089247856	0.013114415128986022	23.068256211886414
K06726	74.9545944571438	0.013227115318069863	23.26649584448489
K00243	41.40616561458708	0.01332719642478818	23.442538511202407
K02860	-289.96598634987436	0.013347998621178948	23.47912957465377
K00806	319.261857021153	0.013611289845206211	23.942258837717723
K02385	53.27162719068401	0.01362532405289605	23.966945009044153
K19302	-215.20369029961591	0.013632119374699866	23.978897980097067
K00969	252.8990026982516	0.013663224995755351	24.03361276753366
K09903	265.0900094831136	0.013726303229750937	24.1445673811319
K18011	-57.13340331660737	0.013814707883602144	24.30007116725617
K03183	-232.2387410553397	0.014004541858144292	24.63398912847581
K16785	438.7903161138711	0.014126286151064447	24.848137339722363
K03616	-74.6785439312718	0.014233008457900948	25.03586187744777
K00645	254.83820954298915	0.014329480453214779	25.205556117204797
K03453	24.125955322646618	0.014344246869054294	25.2315302426665
K06223	-144.88644310467126	0.014423873088818265	25.37159276323133
K07391	-218.30104993271232	0.014482942573474877	25.47549598674231
K10716	89.88354461670882	0.014490369949799803	25.488560741697853
K02006	102.03728530852665	0.01455394992584802	25.600397919566667
K01191	-72.34645390840771	0.01462903464232691	25.732471935853034
K05364	37.92576080189107	0.01519378447749942	26.72586689592148
K18829	-124.6578142896528	0.015275815545168377	26.870159543951175
K06987	54.05502594960858	0.015288041551095812	26.891665088377533
K01759	-121.5444265352084	0.015535014259110294	27.326090081775007
K03439	290.7041133893724	0.015579276602120776	27.403947543130446
K05787	218.172474309196	0.015582138301328303	27.408981272036485
K07045	-38.114219147229875	0.015967596562298278	28.08700235308267
K03767	138.28393253263903	0.016024868360524126	28.187743446161935
K03711	85.88098729208207	0.016241768994836814	28.569271661917956
K00759	296.5316782412617	0.016377933355208308	28.808784771811414
K01858	-185.89842553407925	0.016440216706816575	28.918341187290356
K05601	-166.4683076481017	0.01652713853289137	29.07123667935592
K01258	-265.2846819508675	0.016668900105014418	29.320595284720362
K07271	83.40415913292492	0.01675579489865653	29.473443226736833
K01338	-218.12651580140857	0.016791787285171746	29.5367538346171
K03701	-302.59322272768713	0.016850103861746953	29.63933269281289
K10008	-99.56175519064442	0.01686426952230929	29.664250089742044
K02963	590.9655190929288	0.017114019680645763	30.103560618255898
K02413	57.099413566246895	0.01715051471299038	30.16775538015008
K03762	31.590353641111108	0.017221058546214214	30.291841982790803
K21498	87.40051715616005	0.017304280985060337	30.438230252721134
K01625	-133.64137316061286	0.0175206488045912	30.81882124727592
K15342	211.13589526542967	0.017540665751035172	30.854031056070866
K00560	241.67718014790057	0.01783221229553677	31.366861427849177
K07566	99.4758341998782	0.017906519001634636	31.497566923875326
K04567	-419.45364222935314	0.01843878721826292	32.43382671692448
K02810	192.72465046599666	0.018608851119351823	32.732969118939856
K02809	192.605098421065	0.01868144381242489	32.86065966605538
K13004	58.393130394000494	0.018963822065087607	33.3573630124891
K02032	-309.0209478228371	0.01935913245712384	34.05271399208083
K16264	55.0619352281973	0.019449573188535744	34.21179923863437
K17318	-118.29948236347462	0.019782904280230818	34.79812862892601
K01843	-43.607318066907524	0.02015525903162007	35.4531006366197
K10440	-164.2244735731109	0.020430480113432407	35.9372145195276
K01693	-313.5465868993199	0.020483135888888105	36.02983602855418
K01928	-197.11173224076936	0.02052173100548689	36.09772483865144
K04477	56.48192051486073	0.020809105790724727	36.60321708588479
K02406	-105.05096164267721	0.02102745493660826	36.98729323349393
K03733	59.06888614237323	0.02113724161181916	37.1804079951899
K03758	41.859626384245374	0.02127806346294533	37.42811363132084
K03270	-106.82149928869214	0.021413524898590854	37.666390296621316
K22278	28.636379998882774	0.02159782923351051	37.99058162174499
K13012	-42.05248827589141	0.022516795281728237	39.60704290055997
K07007	13.651124068397458	0.02266209124658606	39.86261850274488
K03521	73.70882597244892	0.022838937563560847	40.17369117430353
K00604	-279.26804840860405	0.02301198107188574	40.47807470544702
K02647	50.017658046659136	0.023420107266336913	41.19596868148663
K09760	26.509223275610204	0.02342900740888561	41.21162403222979
K00571	78.2630470863781	0.02377522802583209	41.82062609743864
K15832	64.90068616786505	0.02389310960219782	42.02797979026596
K01494	86.5397353913043	0.02394353311873051	42.11667475584697
K22933	-37.900386236720934	0.023948189356522237	42.12486507812262
K03451	22.13174731921238	0.023951940314693106	42.13146301354517
K02400	51.59066348797434	0.023960783488595875	42.14701815644015
K02781	71.329700153001	0.024765496585269955	43.56250849348985
K01222	50.96261442774346	0.02485761415252644	43.72454329429401
K01687	-343.8389530843406	0.0248600509883409	43.72882968849164
K02990	363.49095023050995	0.0249830283676168	43.94514689863795
K02040	278.57292711554146	0.02539197698124992	44.66448751001861
K09787	237.77600374590656	0.025814502555898837	45.40770999582605
K09772	-243.18976762022726	0.025839132108968835	45.45103337967618
K01929	29.676316413911415	0.02590297217382338	45.56332805375532
K19221	-67.50383445661654	0.02601678200788216	45.76351955186472
K01897	-85.58035664410457	0.026067221863683158	45.85224325821867
K02933	383.35022280735484	0.026098315031814274	45.90693614096131
K19956	48.46858166434632	0.026275048885417564	46.2178109894495
K02851	56.13079997354592	0.026654523656417926	46.88530711163913
K04769	-80.50883895023946	0.02702053228171217	47.52911628353171
K06317	55.212005407571795	0.027098025204057463	47.66542633393708
K02564	-436.1364382479069	0.027207165527522618	47.85740416291228
K01154	-118.93732471463306	0.027245375239684906	47.92461504660575
K13788	33.700238774545824	0.027498884138383715	48.37053719941696
K07404	42.27549504786049	0.027608428147830436	48.563225112033734
K02874	-370.56526802990766	0.027819724670296513	48.934895695051566
K04027	46.846139322175034	0.028517517532025444	50.16231333883275
K09955	-132.8121723991119	0.028587039995415037	50.28460335193505
K01624	297.60274306719475	0.02875373425789851	50.57781855964348
K01914	-244.49587099667997	0.02895294636998206	50.92823266479844
K11928	41.89986030317061	0.029271837034198826	51.489161343155736
K00968	52.78412624469467	0.02937378292619157	51.668484167170966
K01893	190.8628978760703	0.029525398350340907	51.93517569824966
K01424	-110.45193274453726	0.02953360746226472	51.949615526123644
K00954	-305.995139828789	0.02980054348276891	52.41915598619051
K01580	53.618687110513164	0.02988678070629108	52.57084726236601
K00528	57.995093109246824	0.0300982582139897	52.94283619840788
K00395	34.36653370077937	0.0307467428798063	54.083520725579284
K02221	61.443781467530755	0.030960574644956985	54.45965080047934
K18707	45.2742679984664	0.031452955945364375	55.325749507895935
K03637	129.09764033147326	0.03145944907674742	55.33717092599871
K10548	35.87112035657344	0.031849597429857386	56.02344187911914
K08316	31.475148249862812	0.032497106316779385	57.16241001121494
K02687	-241.1234759785716	0.03306118146600512	58.154618198703005
K02529	333.78300718988226	0.03326755954670943	58.517637242661884
K02935	-407.57787839907724	0.03380421076207956	59.46160673049795
K01845	-178.119456358795	0.03391008222818797	59.64783463938264
K09013	233.0564970028181	0.03433875274936643	60.40186608613555
K08681	-178.94487694709005	0.034752598884721084	61.12982143822438
K01737	54.26976670424159	0.034830665237108545	61.26714015207393
K08303	-211.72470957522887	0.03508740329505406	61.718742396000096
K05303	-22.800731500404638	0.0359475484342069	63.231737695769944
K00609	232.63735722171054	0.03628253196835983	63.82097373234494
K01679	-66.57088778216914	0.03666075140892754	64.48626172830355
K07217	25.960733406556848	0.0376005630632746	66.13939042830002
K21929	-141.01080440600015	0.03786128307916076	66.59799693624377
K06902	95.82484598081697	0.03814171664332935	67.09127957561633
K00633	40.194883957193184	0.03832325353936935	67.41060297575069
K03976	-79.61197868561356	0.03843117359534102	67.60043435420485
K06898	70.1889066875024	0.03853688667822531	67.78638366699832
K04043	-374.2066985911224	0.03910153407965513	68.77959844611337
K02575	27.783859248686337	0.03910576312293503	68.78703733324272
K15581	-165.28733644064414	0.03963376039233223	69.7157845301124
K05845	138.91761464090928	0.04061661440706409	71.44462474202574
K19158	-221.04824958985864	0.04062920062429417	71.46676389813345
K15583	269.1754963613316	0.04088133135002144	71.91026184468771
K03741	-100.06887215863605	0.041414186754930166	72.84755450192216
K02007	84.96973916374057	0.04198239391554466	73.84703089744306
K03977	-272.4720523201481	0.042162858759842554	74.16446855856306
K01961	165.69546370820603	0.04233526895258327	74.46773808759397
K07027	65.53668155702121	0.04321990622637922	76.02381505220106
K04486	-59.257218619669175	0.04337555096958276	76.29759415549607
K09768	-222.74765769392036	0.043573770847687106	76.64626292108161
K04761	70.3318439304792	0.04363647581618746	76.75656096067374
K13929	-32.07916435300966	0.043702493192495216	76.87268552559908
K03273	-84.05360444811768	0.043751690930042025	76.95922434594392
K03979	-233.73440268718377	0.04399618810707971	77.38929488035322
K01207	51.268504809538655	0.04472193184784462	78.66587812035868
K00939	-335.00167996227674	0.0448082698047291	78.81774658651848
K10974	32.16174114560642	0.045099071298138775	79.32926641342611
K02446	53.94314531770445	0.045157370771205935	79.43181518655123
K02431	-50.10829941130328	0.0456876457956449	80.36456895453938
K12142	29.071203390464717	0.046289626665044194	81.42345330381274
K02907	-647.7631664473229	0.04629188543268199	81.42742647608762
K03660	-69.23887001294491	0.04647470599222026	81.74900784031544
K03531	-218.71916186360818	0.04668861714865599	82.12527756448588
K10112	-331.83661426735307	0.047599138483965096	83.7268845932946
K07496	597.6806559992865	0.04762463539848815	83.77173366594066
K03555	-193.7771578557738	0.04880171838882695	85.8422226459466
K08978	22.78723416388641	0.0488353468175752	85.90137505211477
K13288	66.27024623199574	0.0494522389427653	86.98648830032415
K02798	36.648384187822764	0.04957326593614599	87.1993747816808
K02049	54.4625882806248	0.04962653473980808	87.29307460732242
K02904	-748.1252835646719	0.04996921589231352	87.89585075457948
K08591	-193.7640756140653	0.050506069010930056	88.84017539022597
K00765	-215.03115520677784	0.050560014816526465	88.93506606227005
K02895	-261.0914070862914	0.050774816651777466	89.31290249047656
K02051	-43.89144611248622	0.05239220519665102	92.15788894090915
K02931	-644.0065821400567	0.052738561037603854	92.76712886514518
K18234	-61.90335337798305	0.05293154868739704	93.10659414113138
K16511	-272.1692606380358	0.052998262168873926	93.22394315504924
K00057	-239.63232820281678	0.05369393886918712	94.44763847090015
K04095	-51.67054886223363	0.054005447295097056	94.99558179207573
K07005	-52.90888715612539	0.054206695113842907	95.34957670524967
K10190	-124.13548325620275	0.05428856059505465	95.49357808670113
K07258	98.72755786601448	0.05446299194812953	95.80040283675984
K16960	-90.68843436705814	0.05458253071975977	96.01067153605743
K02124	-111.39211293367703	0.05544600688391233	97.52952610880179
K03768	200.75810039061025	0.05585153318789879	98.24284687751397
K00625	196.7949496424801	0.056560791858524084	99.49043287914387
K03416	-34.6514052460432	0.057717714519022086	101.52545983895985
K01808	-127.13653222386927	0.058474781052751945	102.85713987179066
K02315	-71.81871669933636	0.058975441384934796	103.73780139610031
K01755	-283.11128681462515	0.05916381491595399	104.06915043716306
K00955	24.275946924007222	0.05974423666021395	105.09011228531634
K00262	-117.59614771892552	0.06013692286205757	105.78084731435926
K00208	39.195922460890024	0.0601430469805115	105.79161963871972
K00836	-27.235756492145192	0.06022426339641722	105.93447931429789
K13653	-15.920709782374352	0.06051578393860594	106.44726394800784
K00065	-34.877696012659364	0.061206053535405903	107.66144816877899
K07141	37.18866431971244	0.061533004752535536	108.23655535971001
K02035	108.40546625551133	0.06357539329966062	111.82911681410303
K00783	299.4307939908317	0.06379853771194514	112.22162783531151
K10010	150.71066074114174	0.06380048512044656	112.22505332686549
K00036	-73.06175012911564	0.06394886743764738	112.48605782282175
