,PC1,PC2,Lifestyle
37082_3#28,-8.862151558584365,27.511634002275812,Rural
37082_3#29,-44.14104564640703,-4.225769397250605,Rural
37082_3#2,0.6231711587584198,29.492172983233953,Rural
37082_3#30,-20.81311879080909,-27.68537490244982,Rural
37082_3#31,-12.817712725161512,-26.64632555778361,Rural
37082_3#32,3.525015768988745,-25.480232483405416,Rural
37082_3#3,-28.555117606490445,31.0306021881671,Rural
37082_3#4,-6.2106659756280145,-20.5067774546201,Rural
37082_3#5,-13.297823505447816,-27.421409480449032,Rural
37082_3#6,-10.478945301886831,14.68394308537025,Rural
37082_3#7,-39.058398083471985,-32.5886398109361,Rural
37082_3#8,-35.62408304470134,-33.86543469207045,Rural
37082_3#9,-26.05015369255613,23.052818197911936,Rural
