# Pathway,PC1,PC2,contribution
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),-0.04052072695081973,-0.02658955599193093,0.06711028294275066
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation),0.05656508095083666,0.010220000174419574,0.06678508112525623
PWY-922: mevalonate pathway I (eukaryotes and bacteria),0.007218767616027442,0.05946799544233118,0.06668676305835862
PWY66-398: TCA cycle III (animals),0.046619414186014896,-0.019408171972118256,0.06602758615813314
PANTO-PWY: phosphopantothenate biosynthesis I,-0.03775815275752363,-0.02825304331354114,0.06601119607106477
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome),0.05723381237794898,0.008509962345199514,0.06574377472314849
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0.048029726884542434,0.017687673103994217,0.06571739998853665
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,-0.03290123423242306,-0.032600711131646275,0.06550194536406934
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),-0.03886814734640761,-0.02636760468284104,0.06523575202924865
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),0.062272330238943824,0.002632142868551772,0.0649044731074956
PWY-7851: coenzyme A biosynthesis II (eukaryotic),-0.04115249716439645,-0.022812711998021887,0.06396520916241834
"PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)",-0.03872165379903068,-0.02488169377586506,0.06360334757489573
COA-PWY: coenzyme A biosynthesis I (prokaryotic),-0.04086766382308603,-0.02233308343767449,0.06320074726076053
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),-0.04338969945154449,-0.01980664450308035,0.06319634395462484
PWY-8131: 5'-deoxyadenosine degradation II,-0.039103458907615324,0.02402113866787398,0.0631245975754893
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),-0.041089883600178644,-0.021995345625882182,0.06308522922606083
PWY-6630: superpathway of L-tyrosine biosynthesis,-0.03991430495167372,-0.02310058036393067,0.06301488531560438
PWY-6897: thiamine diphosphate salvage II,-0.03501336733586491,-0.027660740176294156,0.06267410751215907
PWY-7858: (5Z)-dodecenoate biosynthesis II,0.04689522079499294,0.015434790346290889,0.06233001114128383
PWY-4984: urea cycle,-0.03918576915504901,0.022774718414062242,0.06196048756911125
PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis,-0.03593232051785085,-0.025883937647540097,0.06181625816539095
PWY-5497: purine nucleobases degradation II (anaerobic),0.037165530610234324,-0.024624071170383916,0.061789601780618236
PWY0-461: L-lysine degradation I,0.0499035188851751,0.011762456747871748,0.06166597563304685
GLUDEG-II-PWY: L-glutamate degradation VII (to butanoate),-0.03918774388587614,0.0223287164667373,0.06151646035261344
NONMEVIPP-PWY: methylerythritol phosphate pathway I,-0.043162965409076715,-0.018194665836395906,0.061357631245472624
TRPSYN-PWY: L-tryptophan biosynthesis,-0.041581366360381046,-0.019673925699919877,0.06125529206030092
PWY-5189: tetrapyrrole biosynthesis II (from glycine),0.03595577872214014,-0.024858140722142555,0.060813919444282695
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,-0.04268961428537568,-0.01775754710986876,0.06044716139524444
PWY-7874: L-threonate degradation,0.048966518425449385,0.011131035506118799,0.06009755393156818
PWY-5667: CDP-diacylglycerol biosynthesis I,-0.03998671058639873,-0.020066967376971744,0.06005367796337047
PWY0-1319: CDP-diacylglycerol biosynthesis II,-0.03995128278664236,-0.020044392124966202,0.059995674911608565
PWY-6628: superpathway of L-phenylalanine biosynthesis,-0.036771133631428504,-0.022986088402641325,0.05975722203406983
PWY-5695: inosine 5'-phosphate degradation,-0.037824908565758084,-0.02191587408772439,0.05974078265348247
PWY-6629: superpathway of L-tryptophan biosynthesis,-0.04117570573237577,-0.018461979320688104,0.059637685053063876
PWY-8004: Entner-Doudoroff pathway I,-0.004288521589295148,-0.05529841441915093,0.059586936008446084
HISTSYN-PWY: L-histidine biosynthesis,-0.04232364942325745,-0.016889780326058104,0.05921342974931555
PWY-7399: methylphosphonate degradation II,-0.028540916083000606,-0.0303962570084336,0.0589371730914342
PWY-5941: glycogen degradation II,-0.041193958823271246,-0.01773066296748853,0.058924621790759774
PWY-7238: sucrose biosynthesis II,-0.042016330333658224,-0.016880958422609758,0.058897288756267985
PENTOSE-P-PWY: pentose phosphate pathway,-0.00884624313323977,-0.04977945363984585,0.05862569677308562
