,PC1,PC2,Lifestyle
37082_1#32,18.379867095755458,4.9827740865362475,Urban
37082_1#9,-9.196225063218126,-12.03541684118428,Urban
37082_2#10,-22.80831689267127,-2.831173677573635,Urban
37082_2#11,-10.758315311591739,-12.021551540749421,Urban
37082_2#12,3.1595256800283367,-11.17056214607876,Urban
37082_2#13,-11.384868401440718,-8.539164542764006,Urban
37082_2#14,5.0377050016445795,-10.894314469017315,Urban
37082_2#15,-19.603133340783174,-4.837356656141535,Urban
37082_2#16,20.983649061728496,15.063972460366355,Rural
37082_2#17,26.5545935103114,12.406405750615201,Rural
37082_2#18,-21.700225467833477,22.021215507936653,Rural
37082_2#19,16.07686208257177,0.2516413405364135,Rural
37082_2#1,32.96516675209209,-8.692739068354866,Urban
37082_2#20,3.26193406557555,-0.787669480468415,Rural
37082_2#21,14.895261263723867,13.62118336689169,Rural
37082_2#22,14.421690099226844,19.7344590006378,Rural
37082_2#23,-18.53824198662235,15.090842140962014,Rural
37082_2#24,0.33817816965209657,-0.5622589772595507,Rural
37082_2#25,-22.092240953945087,23.476563603292604,Rural
37082_2#26,-18.60720818682664,15.524061531408604,Rural
37082_2#27,22.856641275298912,-1.0079243237004498,Rural
37082_2#28,11.711776862122358,15.168156010178343,Rural
37082_2#29,-14.190293273856822,4.2567701606404444,Rural
37082_2#2,3.8523227374117988,2.480381496793292,Urban
37082_2#30,24.7969100007628,8.097977491911566,Rural
37082_2#31,0.11049668888695442,1.9151605263548643,Rural
37082_2#32,-13.878104954791374,23.576927894676135,Rural
37082_2#3,14.296607560188262,-9.647607235909431,Urban
37082_2#5,13.888766599525578,-9.234636544828884,Urban
37082_2#6,12.478862859071638,-10.793734723167404,Urban
37082_2#7,-21.50848193536761,-1.2603179363924784,Urban
37082_2#8,1.8250512617653087,-5.988887667361941,Urban
37082_2#9,-11.308811095213173,3.682546528124095,Urban
37082_3#10,-25.010896404359688,23.48636140574186,Rural
37082_3#11,19.33769635122966,17.198308136844226,Rural
37082_3#12,12.947898066508406,12.80919230685628,Rural
37082_3#13,-6.694281855823389,18.2194123017706,Rural
37082_3#14,-10.660088928486072,-7.194960201606357,Rural
37082_3#15,-21.41814031133055,25.434771863387873,Rural
37082_3#17,39.435120757921844,-2.73619886882687,Rural
37082_3#19,-15.424515950744967,24.64939633253871,Rural
37082_3#1,-21.353452171135267,19.670355742478435,Rural
37082_3#20,-6.060102402961586,-0.5312403073217727,Rural
37082_3#21,-1.3814888295727306,15.025315892389765,Rural
37082_3#22,30.664677196705053,13.004488462191404,Rural
37082_3#23,-21.705657680341357,14.829282207715496,Rural
37082_3#24,27.734007623380986,7.004295819428845,Rural
37082_3#25,9.57798788924375,10.30951513701686,Rural
