,PC1,PC2,contribution
GGB1266,-0.025909802753308158,-0.025504517717939792,0.05141432047124795
GGB100921,-0.011581458932164338,-0.039661523677181953,0.05124298260934629
GGB4669,-0.030260338532180506,-0.020950778802124193,0.051211117334304695
GGB9296,0.02965369360915427,-0.021097407709275963,0.05075110131843023
GGB9696,0.001719243115141461,-0.04838891204927933,0.05010815516442079
GGB4574,-0.019187984774514426,0.030820363630745688,0.05000834840526011
GGB2977,-0.011730900362691756,0.038259510195312284,0.04999041055800404
GGB9297,0.01712152197989971,-0.03258598083224113,0.04970750281214084
GGB2983,0.02027441535126439,-0.029171846756304347,0.049446262107568736
Haemophilus,-0.019124699386469966,0.030198813125159065,0.04932351251162903
GGB51512,0.03770083294080175,0.011604422110711521,0.04930525505151327
GGB4715,-0.0419464727898611,-0.007225906303445642,0.04917237909330674
GGB4711,0.022036499620636984,0.027026143057966412,0.0490626426786034
GGB9266,0.008372988785422553,-0.0404363442662416,0.04880933305166415
GGB3478,0.005350959620890148,-0.043352316545113276,0.04870327616600342
GGB9687,-0.017195005320119864,-0.03145649687370734,0.048651502193827204
GGB3288,0.026595691221657947,-0.02194500817706104,0.04854069939871899
GGB4564,-0.0318760628619535,-0.016630427683509853,0.048506490545463354
GGB3491,0.028756439140564895,0.01956621234772222,0.04832265148828711
GGB18559,-0.027980328935434923,0.019989947487907507,0.04797027642334243
GGB4600,-0.014592197098937412,0.03334097855247663,0.04793317565141404
GGB9082,-0.016997952305726583,-0.030882056201296124,0.0478800085070227
GGB2652,0.03039044912906752,-0.017378590833830317,0.04776903996289784
GGB4651,-0.01237656681643604,0.03491926661485833,0.04729583343129437
GGB4713,-0.03299088367522265,-0.013821847068792028,0.04681273074401467
GGB4700,-0.016495994197969308,-0.03016737548628209,0.0466633696842514
GGB4727,-0.02529558678528424,0.020910187395606253,0.04620577418089049
GGB101072,7.894598530062226e-05,-0.0460843083264905,0.04616325431179112
Butyricicoccus,-0.03428753608796488,0.011750533771762817,0.04603806985972769
GGB3636,-0.044615137108013,-0.001253033641612082,0.045868170749625084
Candidatus Cibionibacter,0.008666774232575244,0.036834747447572466,0.04550152168014771
GGB4599,-0.03742974087887391,0.007365502791571695,0.0447952436704456
GGB32726,0.0073055570388119336,-0.03744213279410547,0.04474768983291741
GGB13779,-0.029085672668276503,0.01564492944000369,0.0447306021082802
GGB9261,-0.0023748829959971468,-0.04212701627720383,0.04450189927320098
GGB4705,-0.018605033401207047,0.025816449849628734,0.04442148325083578
GGB12503,-0.02454159392486321,0.019522301857399497,0.044063895782262705
Brachyspira,-0.03351690762634875,0.009949897971316889,0.043466805597665636
GGB49540,-0.022374420727707466,0.020926165835911555,0.04330058656361902
GGB4698,-0.03283175311585574,0.010027853145646541,0.04285960626150228
