,PC1,PC2,contribution
GGB9729,-0.047197441076113615,0.012118664979410432,0.05931610605552405
GGB1630,-0.03706537786926644,-0.021307531185283342,0.05837290905454978
GGB9608,-0.014672105918547108,-0.04358487954879917,0.058256985467346284
GGB3473,-0.008459369629907053,0.04973900224052937,0.05819837187043642
Klebsiella,-0.0047205595352787415,0.0533292095471578,0.058049769082436545
GGB1632,-0.040909182931837186,-0.017061816172321827,0.05797099910415901
otros,0.019120340072902683,0.03884914529324868,0.05796948536615136
GGB3280,-0.03891196884918424,0.018730211351232488,0.057642180200416726
GGB4578,-0.03966380835142778,-0.017551636665126602,0.05721544501655438
GGB3189,-0.014082894993234561,-0.04282809566398088,0.05691099065721544
Enterobacter,0.013043315114997046,0.04379977423727995,0.056843089352277
GGB4717,-0.02141187126426837,0.03473737810114027,0.05614924936540864
GGB50736,-0.019542017104294353,0.03653685322241171,0.05607887032670606
GGB51431,-0.035702786600461424,-0.02010205549409551,0.05580484209455694
GGB58067,-0.0259833844808398,-0.029683085432915767,0.05566646991375557
GGB4684,-0.012021812923303428,-0.043079498946378365,0.05510131186968179
GGB2631,-0.04075635770629209,0.01428243929469381,0.0550387970009859
GGB3253,-0.03036411862051575,-0.02391206927006009,0.05427618789057584
GGB1147,-0.01836253137113831,0.035691351538358236,0.054053882909496545
GGB3102,-0.04075054365784578,0.013005502388399858,0.053756046046245634
GGB9522,0.01629860378598079,-0.037400093446861696,0.053698697232842485
GGB9785,-0.02259165034372499,-0.03082259709877892,0.05341424744250391
GGB51441,0.015337672711495174,0.03779548035235756,0.05313315306385273
GGB3474,-0.01975873019901944,-0.033293110050212626,0.05305184024923207
GGB4579,0.004742725040685894,0.0475647703090741,0.052307495349759994
GGB9361,-0.008786358648926396,0.042976416953830976,0.05176277560275737
GGB4589,-0.020152544001473642,0.031592351883244475,0.05174489588471812
